"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","FREQUENCY","SCALE","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"IMF.RES:WEO(6.0.0)","MEX.GGXWDN_NGDP.A","OBS_VALUE","Mexico","Net debt, General government, Percent of GDP","Annual","Units","32.517","32.29","34.925","33.595","31.379","29.743","28.196","27.513","31.431","34.373","34.458","35.698","35.639","38.364","41.053","44.898","47.197","44.514","43.644","43.269","50.164","49.097","47.654","46.667","51.382","53.62"
"IMF.RES:WEO(6.0.0)","PAN.LE.A","OBS_VALUE","Panama","Employed persons, Persons for countries / Index for country groups","Annual","Millions","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IMF.RES:WEO(6.0.0)","PAN.GGX_NGDP.A","OBS_VALUE","Panama","Expenditure, General government, Percent of GDP","Annual","Units","22.792","23.434","23.474","24.221","23.311","22.359","21.897","21.821","22.716","22.693","24.204","23.546","22.824","23.435","22.977","21.385","21.294","21.223","21.836","20.655","27.529","23.775","21.335","21.494","22.839","21.758"
"IMF.RES:WEO(6.0.0)","PAN.GGXCNL_NGDP.A","OBS_VALUE","Panama","Net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","2.049","-0.417","-0.963","-2.273","-4.332","-2.212","0.514","3.122","0.375","-0.901","-1.677","-1.956","-1.314","-2.383","-3.214","-2.297","-1.888","-1.923","-2.881","-2.895","-10.198","-6.476","-3.979","-3.922","-7.317","-3.948"
"IMF.RES:WEO(6.0.0)","PAN.NGAP_NPGDP.A","OBS_VALUE","Panama","Output gap, Percent of potential GDP","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IMF.RES:WEO(6.0.0)","PAN.GGR_NGDP.A","OBS_VALUE","Panama","Revenue, General government, Percent of GDP","Annual","Units","24.84","23.017","22.511","21.948","18.978","20.147","22.412","24.943","23.091","21.792","22.527","21.591","21.51","21.053","19.762","19.088","19.406","19.299","18.955","17.76","17.332","17.299","17.357","17.572","15.522","17.81"
"IMF.RES:WEO(6.0.0)","PRY.LUR.A","OBS_VALUE","Paraguay","Unemployment rate","Annual","Units","7.61","6.206","9.393","6.814","6.513","4.825","5.277","4.713","4.415","5.46","4.569","4.67","4.085","4.385","5.034","4.556","5.255","6.138","6.217","6.595","7.548","7.311","6.755","5.886","5.807","5.692"
"IMF.RES:WEO(6.0.0)","PAN.GGXWDG_NGDP.A","OBS_VALUE","Panama","Gross debt, General government, Percent of GDP","Annual","Units","53.586","57.822","56.982","56.476","58.781","59.33","54.74","47.44","40.033","39.067","38.109","35.644","34.044","33.738","34.733","34.25","33.618","33.572","35.593","39.863","61.493","54.404","52.702","51.494","56.619","58.105"
"IMF.RES:WEO(6.0.0)","PER.GGR_NGDP.A","OBS_VALUE","Peru","Revenue, General government, Percent of GDP","Annual","Units","19.619","18.78","18.245","18.491","18.525","19.943","21.191","21.942","22.303","19.918","20.994","21.752","22.345","22.213","22.254","20.136","18.629","18.077","19.211","19.737","17.783","20.972","22.068","19.647","19.094","20.03"
"IMF.RES:WEO(6.0.0)","PRY.NGAP_NPGDP.A","OBS_VALUE","Paraguay","Output gap, Percent of potential GDP","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IMF.RES:WEO(6.0.0)","PER.LE.A","OBS_VALUE","Peru","Employed persons, Persons for countries / Index for country groups","Annual","Millions","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IMF.RES:WEO(6.0.0)","PRY.LE.A","OBS_VALUE","Paraguay","Employed persons, Persons for countries / Index for country groups","Annual","Millions","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IMF.RES:WEO(6.0.0)","PRY.GGXWDG_NGDP.A","OBS_VALUE","Paraguay","Gross debt, General government, Percent of GDP","Annual","Units","33.58","37.097","50.537","37.508","36.045","28.285","20.966","16.812","16.041","14.939","12.976","11.052","12.312","13.495","15.589","18.613","19.39","19.847","22.331","25.768","36.899","37.501","40.528","41.06","45.244","43.906"
"IMF.RES:WEO(6.0.0)","PER.GGXWDN_NGDP.A","OBS_VALUE","Peru","Net debt, General government, Percent of GDP","Annual","Units","37.68","37.06","38.128","38.672","34.958","31.966","24.091","16.743","13.042","12.166","10.215","6.011","2.725","1.496","2.666","5.263","6.881","8.628","10.109","11.114","20.275","19.196","19.387","20.969","22.946","24.451"
"IMF.RES:WEO(6.0.0)","RUS.PCPIPCH.A","OBS_VALUE","Russian Federation","All Items, Consumer price index (CPI), Period average, percent change","Annual","Units","20.799","21.477","15.789","13.663","10.889","12.685","9.669","9.007","14.111","11.647","6.849","8.44","5.075","6.754","7.823","15.534","7.042","3.683","2.878","4.47","3.382","6.694","13.75","5.859","8.444","9.265"
"IMF.RES:WEO(6.0.0)","RUS.GGSB_NPGDP.A","OBS_VALUE","Russian Federation","Structural balance, General government, Percent","Annual","Units","2.629","2.739","0.894","1.575","4.707","7.763","7.671","4.738","3.474","-4.418","-2.432","1.486","0.073","-1.56","-0.134","-3.077","-3.209","-1.002","2.944","1.987","-4.362","0.501","-1.411","-2.781","-3.006","-1.556"
"IMF.RES:WEO(6.0.0)","RUS.GGXWDN.A","OBS_VALUE","Russian Federation","Net debt, General government, Domestic currency","Annual","Billions","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IMF.RES:WEO(6.0.0)","RUS.TXG_RPCH.A","OBS_VALUE","Russian Federation","Exports of goods, Volume, Free on board (FOB), Percent change","Annual","Units","7.257","3.7","9.375","12.4","10.5","4.7","4.9","4.675","0.85","-2.525","8.925","-4.45","-0.75","4.15","-0.15","6.35","2.55","3.05","4.2","-3.0","-1.5","-1.75","-7.754","-10.8","-2.583","1.888"
"IMF.RES:WEO(6.0.0)","RUS.GGXWDG_NGDP.A","OBS_VALUE","Russian Federation","Gross debt, General government, Percent of GDP","Annual","Units","55.868","44.438","37.577","28.334","20.828","14.851","9.804","8.033","7.446","9.918","10.105","10.34","11.167","12.348","15.136","15.286","14.849","14.311","13.62","13.748","19.156","16.524","18.48","19.487","20.303","21.383"
"IMF.RES:WEO(6.0.0)","ESP.GGSB_NPGDP.A","OBS_VALUE","Spain","Structural balance, General government, Percent","Annual","Units","-1.449","-1.234","-1.08","-1.236","-1.193","-0.345","-0.082","-1.504","-7.623","-11.125","-9.084","-8.339","-4.341","-3.228","-2.436","-2.949","-3.223","-3.315","-3.83","-5.329","-4.884","-4.758","-5.341","-4.203","-3.829","-3.46"
"IMF.RES:WEO(6.0.0)","CHE.NGAP_NPGDP.A","OBS_VALUE","Switzerland","Output gap, Percent of potential GDP","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IMF.RES:WEO(6.0.0)","THA.PCPIEPCH.A","OBS_VALUE","Thailand","All Items, Consumer price index (CPI), End-of-period (EoP), percent change","Annual","Units","1.626","0.58","1.591","1.858","2.939","5.696","3.741","2.965","0.48","3.472","3.094","3.533","3.623","1.681","0.599","-0.86","1.123","0.77","0.36","0.87","-0.27","2.173","5.894","-0.839","1.239","0.935"
"IMF.RES:WEO(6.0.0)","ARE.LUR.A","OBS_VALUE","United Arab Emirates","Unemployment rate","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IMF.RES:WEO(6.0.0)","ARE.GGXWDN.A","OBS_VALUE","United Arab Emirates","Net debt, General government, Domestic currency","Annual","Billions","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IMF.RES:WEO(6.0.0)","GBR.LE.A","OBS_VALUE","United Kingdom","Employed persons, Persons for countries / Index for country groups","Annual","Millions","27.484","27.712","27.944","28.221","28.53","28.85","29.138","29.378","29.629","29.156","29.229","29.381","29.723","30.097","30.818","31.346","31.81","32.128","32.507","32.923","32.559","32.555","32.957","33.351","33.616","33.905"
"IMF.RES:WEO(6.0.0)","ARE.GGR_NGDP.A","OBS_VALUE","United Arab Emirates","Revenue, General government, Percent of GDP","Annual","Units","32.449","26.434","20.095","22.402","24.109","31.731","35.777","34.783","39.589","28.87","31.646","35.459","37.153","37.744","34.039","20.683","29.723","27.972","30.461","31.039","28.662","30.423","33.107","28.95","28.024","26.906"
"IMF.RES:WEO(6.0.0)","ARE.LE.A","OBS_VALUE","United Arab Emirates","Employed persons, Persons for countries / Index for country groups","Annual","Millions","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IMF.RES:WEO(6.0.0)","URY.NGAP_NPGDP.A","OBS_VALUE","Uruguay","Output gap, Percent of potential GDP","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IMF.RES:WEO(6.0.0)","USA.GGXCNL_NGDP.A","OBS_VALUE","United States","Net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","","-0.544","-3.821","-4.771","-4.244","-3.075","-2.036","-2.913","-6.612","-13.177","-10.993","-9.716","-8.114","-4.561","-4.026","-3.53","-4.356","-4.794","-5.335","-5.805","-14.147","-11.391","-3.698","-7.163","-7.262","-6.459"
"IMF.RES:WEO(6.0.0)","VNM.NGAP_NPGDP.A","OBS_VALUE","Vietnam","Output gap, Percent of potential GDP","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IMF.RES:WEO(6.0.0)","VEN.PPPSH.A","OBS_VALUE","Venezuela, República Bolivariana de","Gross domestic product (GDP), Purchasing power parity (PPP) international dollar, percent of world GDP, Percent, ICP benchmarks 2017-2021","Annual","Units","0.567","0.572","0.508","0.452","0.508","0.536","0.56","0.579","0.593","0.578","0.542","0.544","0.557","0.546","0.507","0.46","0.37","0.301","0.232","0.161","0.115","0.108","0.113","0.114","0.116","0.108"
"IMF.RES:WEO(6.0.0)","URY.LUR.A","OBS_VALUE","Uruguay","Unemployment rate","Annual","Units","13.4","15.192","16.75","17.15","13.342","12.142","10.783","9.4","7.925","7.783","7.025","6.342","6.325","6.508","6.625","7.525","7.867","7.925","8.367","8.925","10.35","9.375","7.867","8.325","8.183","8.025"
"IMF.RES:WEO(6.0.0)","USA.GGSB_NPGDP.A","OBS_VALUE","United States","Structural balance, General government, Percent","Annual","Units","","-1.464","-3.622","-4.508","-4.406","-3.476","-2.909","-4.035","-6.21","-8.317","-10.157","-8.615","-6.625","-4.6","-3.847","-3.504","-4.297","-4.836","-5.421","-6.218","-10.665","-10.619","-6.059","-7.233","-7.671","-6.673"
"IMF.RES:WEO(6.0.0)","VNM.GGXWDG_NGDP.A","OBS_VALUE","Vietnam","Gross debt, General government, Percent of GDP","Annual","Units","24.755","25.42","27.711","29.835","29.363","28.669","30.248","32.21","31.045","36.17","37.286","36.185","38.33","41.413","43.642","46.117","47.88","46.621","43.798","40.993","41.319","39.237","34.923","34.417","32.86","33.566"
"IMF.RES:WEO(6.0.0)","VNM.GGSB_NPGDP.A","OBS_VALUE","Vietnam","Structural balance, General government, Percent","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IMF.RES:WEO(6.0.0)","VEN.GGXWDN.A","OBS_VALUE","Venezuela, República Bolivariana de","Net debt, General government, Domestic currency","Annual","Billions","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IMF.RES:WEO(6.0.0)","VEN.GGSB.A","OBS_VALUE","Venezuela, República Bolivariana de","Structural balance, General government, Domestic currency","Annual","Billions","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IMF.RES:WEO(6.0.0)","CHL.LE.A","OBS_VALUE","Chile","Employed persons, Persons for countries / Index for country groups","Annual","Millions","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IMF.RES:WEO(6.0.0)","G001.GGR_NGDP.A","OBS_VALUE","World","Revenue, General government, Percent of GDP","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IMF.RES:WEO(6.0.0)","G001.D_NGDPD.A","OBS_VALUE","World","External debt, Percent of GDP","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IMF.RES:WEO(6.0.0)","G001.TXGM_D.A","OBS_VALUE","World","Exports of manufactures, Price deflator, Free on board (FOB), Index","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IMF.RES:WEO(6.0.0)","MEX.NGAP_NPGDP.A","OBS_VALUE","Mexico","Output gap, Percent of potential GDP","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IMF.RES:WEO(6.0.0)","G001.BM.A","OBS_VALUE","World","Imports of goods and services, US dollar","Annual","Billions","","","","","","","","","","","","","","","","","","","","","","","","","",""
